Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
1,Christian McCaffrey,RB,RB1,SF,SF,17,17,416.6,24.51,365.6,21.51,314.6,18.51,1.0,1,1.0,0.0,1,7,13.58,230.8,1.0,14.1,34.62,24.1,8.22,0.3356,39.1,9.8,12,0.7059,1,0.0588,16,0.9412,9,1.0,413,24.29,440,25.88,0.2335,2126,125.06,2126,17,1.0,119,0,0,0,1.01,0.95,5.15,3.86,9.06,7.16,0.7907,0.0412,2.6,7.06,0,1,0,0,0,0.0,0.0,14.0,,0.0,311,1202,10,129,102,924,7
3,Bijan Robinson,RB,RB2,ATL,ATL,17,17,370.8,21.81,331.3,19.49,291.8,17.16,4.0,2,2.0,-1.0,7,12,10.88,185.0,2.0,8.56,32.5,21.2,10.26,0.4703,39.9,5.8,9,0.5294,3,0.1765,14,0.8235,9,1.0,366,21.53,390,22.94,0.1976,2298,135.18,2298,11,0.65,97,3,3,1,1.01,0.95,6.28,5.15,10.38,7.96,0.767,0.0301,0.98,10.85,0,0,0,0,0,,,,,,287,1478,7,103,79,820,4
4,Jahmyr Gibbs,RB,RB3,DET,DET,17,17,366.9,21.58,328.4,19.32,289.9,17.05,5.0,3,3.0,-1.0,8,13,10.65,181.1,2.0,7.06,37.48,19.4,13.53,0.6268,55.4,5.8,7,0.4118,4,0.2353,12,0.7059,6,1.0,320,18.82,337,19.82,0.1615,1839,108.18,1839,18,1.06,84,1,1,0,1.15,1.09,5.75,5.03,8.0,6.55,0.8191,0.0562,0.57,7.99,0,0,0,0,0,,,,,,243,1223,13,94,77,616,5
6,Jonathan Taylor,RB,RB4,IND,IND,17,17,362.3,21.31,339.3,19.96,316.3,18.61,6.0,4,4.0,0.0,5,6,10.38,176.5,2.0,8.24,35.48,16.9,12.44,0.5838,49.6,5.9,7,0.4118,3,0.1765,14,0.8235,6,1.0,369,21.71,378,22.24,0.1098,1963,115.47,1963,20,1.18,99,1,1,1,0.98,0.96,5.32,4.91,8.22,6.87,0.8364,0.0542,-0.82,9.43,0,0,0,0,0,,,,,,323,1585,18,55,46,378,2
12,De'Von Achane,RB,RB5,MIA,MIA,16,16,322.8,20.18,289.3,18.08,255.8,15.99,11.0,5,5.0,1.0,16,19,9.25,147.93,2.0,15.15,28.6,17.75,7.02,0.3477,40.5,12.8,5,0.3125,0,0.0,16,1.0,3,2.0,305,19.06,323,20.19,0.1875,1838,114.88,1838,12,0.75,79,0,0,0,1.06,1.0,6.03,5.67,7.28,5.74,0.7882,0.0393,0.41,8.24,0,0,0,0,0,,,,,,238,1350,8,85,67,488,4
18,James Cook,RB,RB6,BUF,BUF,17,17,302.2,17.78,285.7,16.81,269.2,15.84,23.0,6,6.0,-5.0,18,17,6.85,116.4,3.0,7.18,28.34,20.4,9.2,0.5176,33.6,1.5,9,0.5294,4,0.2353,12,0.7059,4,2.0,342,20.12,349,20.53,0.0819,1912,112.47,1912,14,0.82,79,3,3,0,0.88,0.87,5.59,5.25,8.82,7.28,0.825,0.0409,1.4,8.24,0,0,0,0,0,,,,,,309,1621,12,40,33,291,2
24,Chase Brown,RB,RB7,CIN,CIN,17,17,282.6,16.62,248.1,14.59,213.6,12.56,31.0,7,7.0,-7.0,25,32,5.69,96.8,3.0,8.74,26.94,16.0,7.35,0.4419,32.9,6.0,3,0.1765,3,0.1765,14,0.8235,3,1.0,301,17.71,320,18.82,0.1432,1456,85.65,1456,11,0.65,70,0,0,1,0.94,0.88,4.84,4.39,6.33,4.97,0.7841,0.0365,0.52,6.52,0,0,0,0,0,,,,,,232,1019,6,88,69,437,5
25,Derrick Henry,RB,RB8,BAL,BAL,17,17,279.5,16.44,272.0,16.0,264.5,15.56,33.0,8,8.0,-8.0,20,18,5.51,93.7,3.0,8.7,25.36,13.1,10.0,0.6084,45.6,2.3,5,0.2941,4,0.2353,12,0.7059,3,1.0,322,18.94,328,19.29,0.0488,1745,102.65,1745,16,0.94,83,3,3,0,0.87,0.85,5.42,5.2,10.0,7.14,0.7143,0.0497,0.57,9.0,0,1,0,0,0,0.0,0.0,10.0,,0.0,307,1595,16,21,15,150,0
28,Kyren Williams,RB,RB9,LA,LA,17,17,263.3,15.49,245.3,14.43,227.3,13.37,43.0,9,11.0,-15.0,27,26,4.56,77.5,3.0,9.4,22.04,16.0,6.11,0.3948,31.1,5.8,3,0.1765,3,0.1765,12,0.7059,2,3.0,295,17.35,309,18.18,0.0808,1533,90.18,1533,13,0.76,86,2,2,0,0.89,0.85,5.2,4.83,7.81,5.62,0.72,0.0441,2.5,4.31,0,0,0,0,0,,,,,,259,1252,10,50,36,281,3
29,Travis Etienne,RB,RB10,JAX,JAX,17,17,253.9,14.94,235.9,13.88,217.9,12.82,48.0,10,14.0,-19.0,29,30,4.01,68.1,3.0,5.94,20.84,16.5,6.94,0.465,31.5,4.8,3,0.1765,5,0.2941,13,0.7647,2,1.0,296,17.41,312,18.35,0.0976,1399,82.29,1399,13,0.76,62,0,0,0,0.86,0.81,4.73,4.26,8.11,5.62,0.6923,0.0439,-1.46,9.42,0,0,0,0,0,,,,,,260,1107,7,52,36,292,6
