Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
14,Trey McBride,TE,TE1,ARI,ARI,17,17,315.9,18.58,252.9,14.88,189.9,11.17,19.0,1,1.0,-5.0,23,41,8.0,136.0,1.0,10.12,28.38,16.5,8.37,0.4502,37.4,6.7,10,0.5882,1,0.0588,15,0.8824,9,1.0,126,7.41,169,9.94,0.2789,1239,72.88,1239,11,0.65,63,0,0,0,2.51,1.87,9.83,,9.83,7.33,0.7456,0.0873,6.66,4.63,0,0,0,0,0,,,,,,0,0,0,169,126,1239,11
56,Kyle Pitts,TE,TE2,ATL,ATL,17,17,210.8,12.4,166.8,9.81,122.8,7.22,85.0,2,5.0,-29.0,68,91,1.82,30.9,3.0,4.14,18.28,11.8,9.94,0.8017,45.6,3.4,5,0.2941,5,0.2941,9,0.5294,4,1.0,88,5.18,118,6.94,0.2268,928,54.59,928,5,0.29,51,0,0,0,2.4,1.79,10.55,,10.55,7.86,0.7458,0.0568,7.36,4.55,0,0,0,0,0,,,,,,0,0,0,118,88,928,5
69,Travis Kelce,TE,TE3,KC,KC,17,17,193.2,11.36,155.2,9.13,117.2,6.89,109.0,3,9.0,-40.0,82,100,0.78,13.3,3.0,3.24,20.22,10.1,6.41,0.5636,24.1,1.6,4,0.2353,4,0.2353,9,0.5294,4,2.0,77,4.53,109,6.41,0.2,852,50.12,852,5,0.29,46,0,0,1,2.51,1.77,11.06,1.0,11.2,7.88,0.7037,0.0649,6.81,5.58,0,0,0,0,0,,,,,,1,1,0,108,76,851,5
71,Tyler Warren,TE,TE4,IND,IND,17,17,188.5,11.09,150.5,8.85,112.5,6.62,114.0,4,10.0,-43.0,86,107,0.51,8.6,3.0,5.56,18.06,9.5,4.88,0.44,18.3,3.7,4,0.2353,4,0.2353,8,0.4706,4,2.0,82,4.82,118,6.94,0.2148,825,48.53,825,5,0.29,45,0,0,0,2.3,1.6,10.06,1.33,10.75,7.29,0.6786,0.061,5.38,6.24,0,1,0,0,0,0.0,0.0,11.0,,0.0,6,8,1,112,76,817,4
73,Jake Ferguson,TE,TE5,DAL,DAL,17,17,188.1,11.06,147.1,8.65,106.1,6.24,115.0,5,11.0,-42.0,91,114,0.48,8.2,3.0,2.76,21.48,10.8,7.09,0.6407,23.9,0.0,5,0.2941,4,0.2353,9,0.5294,5,2.0,83,4.88,103,6.06,0.1648,601,35.35,601,8,0.47,30,2,2,1,2.27,1.83,7.24,1.0,7.32,5.88,0.8039,0.0964,4.66,3.74,0,0,0,0,0,,,,,,1,1,0,102,82,600,8
76,Harold Fannin Jr.,TE,TE6,CLE,CLE,16,16,186.4,11.65,150.4,9.4,114.4,7.15,100.0,6,8.0,-24.0,87,104,1.07,17.08,3.0,5.05,18.95,11.15,5.73,0.4918,25.4,4.5,4,0.25,3,0.1875,8,0.5,3,1.0,79,4.94,114,7.12,0.2184,744,46.5,744,7,0.44,34,1,1,0,2.36,1.64,9.42,1.86,10.15,6.83,0.6729,0.0886,6.04,4.89,0,0,0,0,0,,,,,,7,13,1,107,72,731,6
78,Dallas Goedert,TE,TE7,PHI,PHI,15,15,185.1,12.34,155.1,10.34,125.1,8.34,87.0,7,6.0,-9.0,83,88,1.76,26.36,3.0,4.52,22.88,10.9,7.17,0.5814,26.0,4.0,5,0.3333,4,0.2667,6,0.4,5,1.0,60,4.0,82,5.47,0.2076,591,39.4,591,11,0.73,34,0,0,0,3.08,2.26,9.85,,9.85,7.21,0.7317,0.1833,7.11,3.9,0,0,0,0,0,,,,,,0,0,0,82,60,591,11
84,Juwan Johnson,TE,TE8,NO,NO,17,17,179.9,10.58,141.4,8.32,102.9,6.05,125.0,8,12.0,-41.0,100,122,0.0,0.0,3.0,4.96,16.3,10.6,4.82,0.4559,19.2,1.5,4,0.2353,4,0.2353,9,0.5294,4,1.0,77,4.53,102,6.0,0.1767,889,52.29,889,3,0.18,41,2,2,0,2.34,1.76,11.55,,11.55,8.72,0.7549,0.039,7.58,4.7,0,0,0,0,0,,,,,,0,0,0,102,77,889,3
85,Hunter Henry,TE,TE9,NE,NE,17,17,178.8,10.52,148.8,8.75,118.8,6.99,126.0,9,13.0,-41.0,88,97,-0.06,-1.1,3.0,2.44,19.1,9.1,7.28,0.6917,29.0,1.9,3,0.1765,5,0.2941,7,0.4118,2,1.0,60,3.53,87,5.12,0.1742,768,45.18,768,7,0.41,42,0,0,0,2.98,2.06,12.8,,12.8,8.83,0.6897,0.1167,8.16,5.58,0,0,0,0,0,,,,,,0,0,0,87,60,768,7
87,Dalton Schultz,TE,TE10,HOU,HOU,17,17,177.7,10.45,136.7,8.04,95.7,5.63,128.0,10,15.0,-41.0,104,131,-0.13,-2.2,3.0,4.7,18.5,11.0,5.64,0.5395,21.6,1.8,3,0.1765,6,0.3529,8,0.4706,2,4.0,82,4.82,106,6.24,0.1906,777,45.71,777,3,0.18,39,0,0,0,2.17,1.68,9.48,,9.48,7.33,0.7736,0.0366,6.22,4.37,0,0,0,0,0,,,,,,0,0,0,106,82,777,3
90,Brock Bowers,TE,TE11,LV,LV,12,12,176.2,14.68,144.2,12.02,112.2,9.35,51.0,11,2.0,39.0,96,108,4.1,49.21,2.0,8.8,21.6,12.85,10.12,0.6895,43.3,3.7,3,0.25,1,0.0833,7,0.5833,3,1.0,66,5.5,88,7.33,0.2338,682,56.83,682,7,0.58,36,0,0,1,2.67,2.0,10.33,1.0,10.62,7.91,0.7442,0.1061,6.51,4.77,0,0,0,0,0,,,,,,2,2,0,86,64,680,7
