Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
2,Puka Nacua,WR,WR1,LA,LA,16,16,375.0,23.44,310.5,19.41,246.0,15.38,2.0,1,1.0,0.0,11,20,12.84,205.4,1.0,13.75,35.85,22.95,10.21,0.4356,46.5,4.8,10,0.625,1,0.0625,15,0.9375,9,1.0,139,8.69,176,11.0,0.3013,1820,113.75,1820,11,0.69,85,1,1,0,2.7,2.13,13.09,10.5,13.29,10.33,0.7771,0.0791,9.43,5.16,0,0,0,0,0,,,,,,10,105,1,166,129,1715,10
7,Jaxon Smith-Njigba,WR,WR2,SEA,SEA,17,17,359.9,21.17,300.4,17.67,240.9,14.17,7.0,2,2.0,0.0,14,22,10.57,179.7,2.0,13.84,28.94,20.6,7.48,0.3534,37.1,4.3,10,0.5882,1,0.0588,16,0.9412,4,1.0,126,7.41,170,10.0,0.3677,1829,107.59,1829,10,0.59,81,1,1,0,2.86,2.12,14.52,5.14,15.07,11.0,0.7301,0.0794,11.25,4.44,0,0,0,0,0,,,,,,7,36,0,163,119,1793,10
11,Amon-Ra St. Brown,WR,WR3,DET,DET,17,17,324.0,19.06,265.5,15.62,207.0,12.18,15.0,3,4.0,-4.0,22,35,8.46,143.8,3.0,7.58,33.62,18.0,10.93,0.5734,41.4,0.0,7,0.4118,4,0.2353,13,0.7647,5,1.0,120,7.06,175,10.29,0.3166,1410,82.94,1410,11,0.65,72,0,0,0,2.7,1.85,11.75,3.0,11.97,8.15,0.6802,0.0917,8.08,4.87,0,0,0,0,0,,,,,,3,9,0,172,117,1401,11
16,Ja'Marr Chase,WR,WR4,CIN,CIN,16,16,313.6,19.6,251.1,15.69,188.6,11.79,14.0,4,3.0,2.0,24,42,9.0,144.0,3.0,6.65,32.75,20.5,10.26,0.5236,38.1,4.6,8,0.5,4,0.25,12,0.75,7,1.0,128,8.0,188,11.75,0.3207,1426,89.12,1426,8,0.5,73,1,1,0,2.45,1.67,11.14,4.67,11.3,7.63,0.6757,0.0625,8.49,5.12,0,0,0,0,0,,,,,,3,14,0,185,125,1412,8
21,George Pickens,WR,WR5,DAL,DAL,17,17,291.9,17.17,245.4,14.44,198.9,11.7,27.0,5,6.0,-6.0,26,37,6.57,111.7,4.0,6.18,30.48,14.8,9.65,0.562,33.4,1.9,5,0.2941,4,0.2353,14,0.8235,5,1.0,93,5.47,137,8.06,0.2252,1429,84.06,1429,9,0.53,73,0,0,1,3.14,2.13,15.37,,15.37,10.43,0.6788,0.0968,11.29,5.15,0,0,0,0,0,,,,,,0,0,0,137,93,1429,9
27,Chris Olave,WR,WR6,NO,NO,16,16,268.0,16.75,218.0,13.62,168.0,10.5,30.0,6,8.0,-3.0,38,50,6.15,98.4,4.0,8.85,26.35,15.2,7.91,0.4725,36.8,6.0,5,0.3125,3,0.1875,13,0.8125,3,2.0,101,6.31,157,9.81,0.2918,1160,72.5,1160,9,0.56,53,1,0,0,2.65,1.71,11.49,-3.0,11.63,7.46,0.641,0.0891,11.8,2.89,0,1,0,0,1,0.0,0.0,4.0,0.0,0.0,1,-3,0,156,100,1163,9
31,Zay Flowers,WR,WR7,BAL,BAL,17,17,243.3,14.31,200.3,11.78,157.3,9.25,57.0,7,13.0,-26.0,44,57,3.71,63.1,4.0,6.48,23.96,13.0,7.48,0.5229,29.8,0.6,4,0.2353,3,0.1765,14,0.8235,2,1.0,96,5.65,128,7.53,0.2988,1273,74.88,1273,6,0.35,51,3,3,0,2.53,1.9,13.26,6.2,14.08,10.26,0.7288,0.0625,10.2,5.33,0,0,0,0,0,,,,,,10,62,1,118,86,1211,5
42,Nico Collins,WR,WR8,HOU,HOU,15,15,226.2,15.08,190.7,12.71,155.2,10.35,46.0,8,11.0,-4.0,48,58,4.48,67.2,4.0,7.42,23.14,14.5,6.5,0.431,24.2,5.5,5,0.3333,5,0.3333,11,0.7333,3,4.0,73,4.87,122,8.13,0.2424,1132,75.47,1132,7,0.47,49,1,1,1,3.1,1.85,15.51,7.5,15.73,9.31,0.5917,0.0959,12.74,4.56,0,0,0,0,0,,,,,,2,15,1,120,71,1117,6
43,Davante Adams,WR,WR9,LA,LA,14,14,222.9,15.92,192.9,13.78,162.9,11.64,38.0,9,9.0,5.0,47,51,5.32,74.5,4.0,7.34,23.14,15.1,6.84,0.4296,26.5,6.9,5,0.3571,4,0.2857,10,0.7143,1,3.0,60,4.29,114,8.14,0.2515,789,56.36,789,14,1.0,51,0,0,0,3.72,1.96,13.15,,13.15,6.92,0.5263,0.2333,12.67,1.95,0,0,0,0,0,,,,,,0,0,0,114,60,789,14
45,Michael Wilson,WR,WR10,ARI,ARI,17,17,220.6,12.98,181.6,10.68,142.6,8.39,75.0,10,21.0,-30.0,57,70,2.38,40.4,4.0,2.76,26.48,8.4,10.6,0.8171,37.2,1.5,4,0.2353,10,0.5882,7,0.4118,2,1.0,78,4.59,126,7.41,0.1922,1006,59.18,1006,7,0.41,51,0,0,0,2.83,1.75,12.9,,12.9,7.98,0.619,0.0897,11.92,3.5,0,0,0,0,0,,,,,,0,0,0,126,78,1006,7
